'2019-07-19T00:07:20.423': {'opt': '00 00', 'bar': '1f 0b 00 90 8a 01', 'temp': '54 0c 18 0e', 'hum': 'ec 69 50 60', 'mov': '81 ff 0d 01 c6 00 5c 00 10 00 ec f7 0e 02 84 ff eb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:07:26.167': {'opt': '00 00', 'bar': '1d 0b 00 91 8a 01', 'temp': '54 0c 18 0e', 'hum': 'f4 69 ff ff', 'mov': '6f ff 18 01 c5 00 4f 00 13 00 e7 f7 0d 02 8a ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:07:31.873': {'opt': '00 00', 'bar': '1f 0b 00 94 8a 01', 'temp': '48 0c 18 0e', 'hum': 'f4 69 ff 60', 'mov': '4f ff fb 00 a1 00 59 00 17 00 ee f7 05 02 7b ff df fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:07:37.579': {'opt': '00 00', 'bar': '1d 0b 00 8f 8a 01', 'temp': '4c 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '62 ff fb 00 90 00 5a 00 18 00 e7 f7 14 02 77 ff e3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:07:43.282': {'opt': '00 00', 'bar': '1d 0b 00 8f 8a 01', 'temp': '5c 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '6e ff 01 01 9c 00 53 00 11 00 e9 f7 0e 02 7b ff e4 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:07:48.984': {'opt': '00 00', 'bar': '1d 0b 00 90 8a 01', 'temp': '3c 0c 18 0e', 'hum': '00 00 ff ff', 'mov': '73 ff 16 01 8e 00 54 00 1b 00 ec f7 10 02 7d ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:07:54.688': {'opt': '00 00', 'bar': '1e 0b 00 93 8a 01', 'temp': '3c 0c 18 0e', 'hum': 'f8 69 ff ff', 'mov': '5f ff 11 01 aa 00 52 00 19 00 db f7 16 02 7a ff e9 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:08:00.392': {'opt': '00 00', 'bar': '1d 0b 00 92 8a 01', 'temp': '30 0c 18 0e', 'hum': 'ec 69 50 60', 'mov': '94 ff 16 01 a0 00 54 00 12 00 ef f7 10 02 7b ff e4 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:08:06.096': {'opt': '00 00', 'bar': '1e 0b 00 91 8a 01', 'temp': '74 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '74 ff 2f 01 ba 00 52 00 16 00 db f7 08 02 7e ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:08:11.799': {'opt': '00 00', 'bar': '1e 0b 00 93 8a 01', 'temp': '48 0c 18 0e', 'hum': 'f4 69 ff ff', 'mov': '4c ff 29 01 b2 00 58 00 14 00 e7 f7 0d 02 88 ff f0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:08:17.503': {'opt': '00 00', 'bar': '1e 0b 00 95 8a 01', 'temp': '44 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '78 ff 19 01 8d 00 50 00 21 00 f0 f7 12 02 81 ff e5 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:08:23.207': {'opt': '00 00', 'bar': '1d 0b 00 91 8a 01', 'temp': '34 0c 18 0e', 'hum': '00 00 ff ff', 'mov': '68 ff 32 01 9b 00 59 00 05 00 ed f7 14 02 83 ff e3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:08:28.911': {'opt': '00 00', 'bar': '1c 0b 00 91 8a 01', 'temp': '60 0c 18 0e', 'hum': 'ec 69 50 60', 'mov': '86 ff 1a 01 b4 00 5a 00 16 00 f4 f7 10 02 80 ff e6 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:08:34.615': {'opt': '00 00', 'bar': '1d 0b 00 8d 8a 01', 'temp': '44 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '7c ff 31 01 c1 00 56 00 16 00 ec f7 12 02 7a ff e5 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:08:40.318': {'opt': '00 00', 'bar': '1e 0b 00 96 8a 01', 'temp': '30 0c 18 0e', 'hum': 'f4 69 ff ff', 'mov': '90 ff 12 01 a9 00 4f 00 13 00 e3 f7 18 02 79 ff db fe', 'MAC': '54:6C:0E:53:00:97'}
