'2019-07-18T17:38:00.106': {'opt': '48 00', 'bar': '28 0a 00 47 89 01', 'temp': 'f8 0a e4 0c', 'hum': '38 66 3c 60', 'mov': '8a ff 3e 01 bb 00 55 00 11 00 ef f7 c9 01 95 ff f4 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:38:05.809': {'opt': '50 00', 'bar': '28 0a 00 3f 89 01', 'temp': 'f0 0a e4 0c', 'hum': '38 66 3c 60', 'mov': '9a ff 2a 01 9f 00 57 00 22 00 f0 f7 c4 01 95 ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:38:11.513': {'opt': '50 00', 'bar': '28 0a 00 40 89 01', 'temp': 'fc 0a e4 0c', 'hum': '38 66 3c 60', 'mov': 'b7 ff 27 01 cd 00 5a 00 1d 00 e6 f7 c3 01 8f ff f5 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:38:17.217': {'opt': '50 00', 'bar': '27 0a 00 3f 89 01', 'temp': 'fc 0a e4 0c', 'hum': '38 66 3c 60', 'mov': 'aa ff 0d 01 d6 00 56 00 17 00 e3 f7 c7 01 93 ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:38:22.921': {'opt': '50 00', 'bar': '28 0a 00 44 89 01', 'temp': 'f8 0a e4 0c', 'hum': '38 66 3c 60', 'mov': 'a0 ff 20 01 b5 00 58 00 12 00 d1 f7 bc 01 99 ff f5 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:38:28.625': {'opt': '50 00', 'bar': '28 0a 00 47 89 01', 'temp': '10 0b e4 0c', 'hum': '38 66 fc 5f', 'mov': '95 ff 13 01 ce 00 56 00 1d 00 e2 f7 c3 01 91 ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:38:34.328': {'opt': '50 00', 'bar': '28 0a 00 45 89 01', 'temp': 'f8 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': '89 ff 26 01 c9 00 58 00 19 00 ee f7 cb 01 8c ff f1 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:38:40.032': {'opt': '50 00', 'bar': '28 0a 00 47 89 01', 'temp': 'e0 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': '80 ff 23 01 ec 00 56 00 13 00 f1 f7 bf 01 8e ff eb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:38:45.736': {'opt': '50 00', 'bar': '27 0a 00 43 89 01', 'temp': 'f0 0a e4 0c', 'hum': '38 66 fc 5f', 'mov': 'a0 ff 26 01 bc 00 5d 00 0c 00 f1 f7 c7 01 9a ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:38:51.437': {'opt': '50 00', 'bar': '27 0a 00 40 89 01', 'temp': 'fc 0a e4 0c', 'hum': '38 66 fc 5f', 'mov': 'bc ff 43 01 bf 00 5f 00 16 00 f4 f7 c9 01 8e ff f1 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:38:57.144': {'opt': '50 00', 'bar': '28 0a 00 44 89 01', 'temp': 'e8 0a e4 0c', 'hum': '38 66 fc 5f', 'mov': '7f ff 28 01 d3 00 57 00 12 00 f6 f7 bf 01 8e ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:39:02.847': {'opt': '50 00', 'bar': '27 0a 00 41 89 01', 'temp': 'fc 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': 'ad ff 39 01 d7 00 54 00 1f 00 eb f7 c7 01 95 ff eb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:39:08.551': {'opt': '50 00', 'bar': '27 0a 00 46 89 01', 'temp': '00 0b e4 0c', 'hum': '38 66 fc 5f', 'mov': '84 ff 1b 01 be 00 54 00 16 00 fa f7 c7 01 8e ff f8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:39:14.255': {'opt': '50 00', 'bar': '27 0a 00 47 89 01', 'temp': 'f0 0a e4 0c', 'hum': '2c 66 fc 5f', 'mov': '89 ff 3f 01 bf 00 50 00 18 00 e3 f7 ca 01 94 ff de fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:39:19.959': {'opt': '50 00', 'bar': '27 0a 00 43 89 01', 'temp': 'f0 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': '9f ff 12 01 d6 00 56 00 17 00 e9 f7 c5 01 8d ff f3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:39:25.711': {'opt': '50 00', 'bar': '28 0a 00 46 89 01', 'temp': '00 0b e4 0c', 'hum': '2c 66 fc 5f', 'mov': '97 ff 27 01 ca 00 54 00 15 00 ec f7 be 01 96 ff ec fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:39:31.415': {'opt': '50 00', 'bar': '27 0a 00 45 89 01', 'temp': 'f8 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': 'b3 ff 25 01 c3 00 59 00 10 00 e0 f7 ce 01 90 ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:39:37.119': {'opt': '50 00', 'bar': '26 0a 00 47 89 01', 'temp': 'f0 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': 'ac ff 22 01 c7 00 5c 00 18 00 f1 f7 ca 01 86 ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:39:42.823': {'opt': '50 00', 'bar': '26 0a 00 46 89 01', 'temp': 'f0 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': '9c ff 2c 01 b0 00 5c 00 1c 00 fc f7 c3 01 94 ff f0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:39:48.526': {'opt': '50 00', 'bar': '26 0a 00 45 89 01', 'temp': 'd4 0a e4 0c', 'hum': '34 66 fc 5f', 'mov': 'bd ff 24 01 a5 00 58 00 1a 00 e5 f7 c9 01 9c ff f1 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:39:54.277': {'opt': '50 00', 'bar': '26 0a 00 44 89 01', 'temp': '08 0b e4 0c', 'hum': '34 66 fc 5f', 'mov': '8d ff 49 01 a4 00 62 00 16 00 ec f7 c8 01 8d ff f0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:39:59.983': {'opt': '50 00', 'bar': '26 0a 00 45 89 01', 'temp': 'f8 0a e4 0c', 'hum': '2c 66 fc 5f', 'mov': '7c ff 11 01 af 00 56 00 13 00 e9 f7 c7 01 95 ff f8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:40:05.687': {'opt': '50 00', 'bar': '26 0a 00 44 89 01', 'temp': '08 0b e4 0c', 'hum': '34 66 fc 5f', 'mov': '93 ff 3b 01 d8 00 58 00 17 00 fb f7 c3 01 8d ff f0 fe', 'MAC': '54:6C:0E:53:00:97'}
